title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing,log_price,Gemeindename_x,Gemeindename_y,bev_dicht,Quartil,Kategorie,clean_Gemeindename
Preissenkung - EFH - Küssen sie es wach….,169000.0,"03238 Finsterwalde, Elbe-Elster (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,125.0,1771.0,1352.0,Einfamilienhaus (freistehend),30.0,nil,4.0,2.0,1.0,3.57,{},12.037659911047468,Elbe,Elbe,91.34,Q2,ländlich,Elbe
Mehrgenerationenhaus mit Platz für Gewerbe in bester Lage,210000.0,"03238 Finsterwalde, Elbe-Elster (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,207.0,428.0,1014.0,Mehrfamilienhaus,60.0,nil,3.0,3.0,2.0,3.57,{},12.25486757159303,Elbe,Elbe,91.34,Q2,ländlich,Elbe
Charmante leicht renovierungsbedürftige Doppelhaushälfte – Ideal für kreative Familien in guter Lage,339500.0,"04416 Markkleeberg, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,115.0,725.0,2952.0,Doppelhaushälfte,93.0,ab sofort,3.0,1.0,1.0,2.975,{'is24qa-keller-label': ''},12.73523217148465,Lage,Lage,157.28,Q3,ländlich,Lage
Charmante leicht renovierungsbedürftige Doppelhaushälfte – Ideal für kreative Familien in guter Lage,339500.0,"04416 Markkleeberg, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,115.0,725.0,2952.0,Doppelhaushälfte,93.0,ab sofort,3.0,1.0,1.0,2.975,{'is24qa-keller-label': ''},12.73523217148465,Lage,"Lage, Stadt",456.15,Q4,städtisch,Lage
Ein Familientraum in Markkleeberg West mit großem Garten und zwei Garagen,749000.0,"04416 Markkleeberg, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,143.0,926.0,5238.0,nil,62.0,ab sofort,3.0,2.0,2.0,2.975,{},13.52649559761195,Mark,Mark,0.0,Q1,ländlich,Mark
Ein Familientraum in Markkleeberg West mit großem Garten und zwei Garagen,749000.0,"04416 Markkleeberg, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,143.0,926.0,5238.0,nil,62.0,ab sofort,3.0,2.0,2.0,2.975,{},13.52649559761195,Mark,Mark,0.0,Q1,ländlich,Mark
ziehen Sie sofort ein! Elektrische Wärmepumpe - 7 Zimmer - Klimaanlage - Ihr Traum vom Haus!,199950.0,"04509 Wiedemar, Nordsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,239.54,252.0,835.0,Reihenmittelhaus,74.34,sofort,5.0,2.0,3.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.20582761551277,Wied,Wied,101.5,Q3,ländlich,Wied
"Charmantes, renoviertes Wohnhaus mit Garten, Garagen, Kamin, eigenem Brunnen, ideal für Familien",429000.0,"04519 Rackwitz, Nordsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,150.0,1304.0,2860.0,Einfamilienhaus (freistehend),200.0,ab sofort,3.0,2.0,3.0,2.975,{},12.969214528909768,Brunnen,Brunnen,55.41,Q2,ländlich,Brunnen
Traumhaus mit Potenzial: Ihr neues Zuhause in Pegau wartet auf Sie!,299000.0,"04523 Pegau, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,192.0,420.0,1557.0,Einfamilienhaus (freistehend),98.0,nil,4.0,2.0,1.0,3.57,{},12.608202196848836,Leipzig,"Leipzig, Stadt",2021.04,Q4,städtisch,Leipzig
Einfamilienhaus in grüner Stadtrandlage sucht Familie,146000.0,"04567 Kitzscher, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3.0,65.0,532.0,2246.0,Reiheneckhaus,40.0,sofort,2.0,1.0,3.0,3.57,{'is24qa-keller-label': ''},11.891368749982085,Leipzig,"Leipzig, Stadt",2021.04,Q4,städtisch,Leipzig
Schmuckstück sucht Handwerker,199000.0,"04571 Rötha, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3.0,92.2,610.0,2158.0,Einfamilienhaus (freistehend),35.0,nach Vereinbarung,2.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.201065128819632,Leipzig,"Leipzig, Stadt",2021.04,Q4,städtisch,Leipzig
Einfamilienhaus in Eschefeld zu verkaufen,249000.0,"04654 Frohburg, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,110.0,1000.0,2264.0,Einfamilienhaus (freistehend),140.0,nil,2.0,1.0,1.0,3.57,{'is24qa-keller-label': ''},12.425212191503038,Esche,Esche,52.45,Q2,ländlich,Esche
Bezugsfrei! | Traumhaus am Privatsee | Kamin | nicht öffentlicher Seezugang,599000.0,"04668 Parthenstein, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,123.85,1072.0,4836.0,Einfamilienhaus (freistehend),164.47,ab sofort,3.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",13.303018546545275,Leipzig,"Leipzig, Stadt",2021.04,Q4,städtisch,Leipzig
