title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
"Im Herzen von St.Pauli: 1,5 Zimmer-Wohnung mit atemberaubendem Weitblick!",235000.0,"St. Pauli, 20359 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","1,5",36.0,6528.0,Etagenwohnung,,nil,nil,1,1 Tiefgaragen-Stellplatz,"Käufercourtage 3,15 % inkl. gesetzlicher MwSt.",{'is24qa-personenaufzug-label': ''}
"Traumhafte Altbauwohnung im Hochparterre mit eigenem Gartenbereich, frisch renoviert!",429000.0,"Altona-Nord, 22769 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5",64.0,6703.0,Hochparterre,16.0,sofort,1,1,nil,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Gut geschnittene Eigentumswohnung mit Sanierungsbedarf und eigenem Balkon in zentraler Lage,179000.0,"Wandsbek (Ortsteil), 22041 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,44.06,4063.0,nil,,ab sofort,1,1,nil,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': ''}"
Attraktive Kapitalanlage geräumige 3 Zimmer Wohnung beim Öjendorfer Park mit TG Stellplatz,209000.0,"Billstedt, 22117 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,70.0,2986.0,Erdgeschosswohnung,8.0,nil,2,1,1 Tiefgaragen-Stellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Grüne Oase in der Stadt - moderne Wohnung mit Balkonen in der Blumenau,789000.0,"Eilbek, 22089 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,89.0,8865.0,Etagenwohnung,,nil,2,1,2 Garagen,"3,57% inkl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Exklusives Wohn- und Arbeitsloft in den Elbarkaden,1190000.0,"HafenCity, 20457 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,140.0,8500.0,Loft,,nil,2,2,2 Tiefgaragen-Stellplätze,"3,57% inkl. ges. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
PROVISIONSFREI! Klein aber Fein! Freies 1-Zimmer Apartment in Blankenese.,295000.0,"Schenefelder Landstraße 43,
Blankenese, 22587 Hamburg",1,32.0,9219.0,Dachgeschoss,,sofort,nil,nil,1 Außenstellplatz,Nein,"{'is24qa-einbaukueche-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Hamburg - Finkenwerder | Renovierte 3-Zimmerwohnung mit Stellplatz in Toplage zu AIRBUS,328320.0,"Finkenwerder, 21129 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,86.4,3800.0,Etagenwohnung,1.0,nil,nil,2,1 Außenstellplatz,"3,57% inkl. gesetzlicher MwSt. (Käuferprovision)",{}
Vermietete 3 Zimmer Eigentumswohnung mit Balkon und Garage,239900.0,"Marienstrasse 74-76,
Harburg (Ortsteil), 21073 Hamburg",3,68.87,3483.0,Etagenwohnung,,nil,nil,nil,1 Stellplatz,"3,57%","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"Eigentumswohnung, Tiefgaragenstellplatz und Kellerraum in HH",128000.0,"Lohbrügge, 21031 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,35.0,3657.0,nil,35.0,nil,nil,nil,1 Tiefgaragen-Stellplatz,"7,14% inkl USt.",{}
