title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Hier lässt sich was draus machen!,175000.0,"36433 Moorgrund, Wartburgkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,156.0,776.0,1122.0,Einfamilienhaus (freistehend),,nil,nil,nil,2 Garagen,"3,57 % inkl. ges. MwSt.",{}
"Teilsanierte 3 WE Villa mit Zufahrt, Balkon, Garten, Carport und Stellplätzen in Mühlhausen!",449000.0,"99974 Mühlhausen/Thüringen, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,405.0,1040.0,1109.0,Villa,,nil,4,3,3 Garagen,"5,95 % (26.700,00 €) inkl. 19% MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Ihr Start ins Eigenheim,98000.0,"04617 Fockendorf, Altenburger Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,120.0,605.0,817.0,Einfamilienhaus (freistehend),,nil,nil,1,1 Garage,"3,57 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Solides Einfamilienhaus in traumhafter Südhanglage mit Blick auf den Rennsteig,170000.0,"Am Klafterberg 1,
99834 Wolfsburg-Unkeroda, Wartburgkreis",6,105.0,1259.0,1619.0,Einfamilienhaus (freistehend),105.0,13.2.2024,1,1,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Familienfreundliches Einfamilienhaus mit hübschen Garten gesucht?,290000.0,"99734 Nordhausen, Nordhausen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,142.0,753.0,2042.0,Einfamilienhaus (freistehend),,sofort,nil,2,nil,"3,57 %",{}
kleines Mehrfamilienhaus mit zwei Wohnungen in Mendhausen,150000.0,"Am Kirchgarten 91,
98630 Mendhausen, Hildburghausen (Kreis)",6,202.0,295.0,743.0,Mehrfamilienhaus,,nil,nil,2,nil,"3,57 % inkl. Umsatzsteuer",{}
freistehendes Einfamilienhaus in Krölpa (Pößneck),210000.0,"07387 Krölpa, Saale-Orla-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,110.0,482.0,1909.0,Einfamilienhaus (freistehend),,nil,2,1,2 Carports,"3,57","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
26779 | +++ Reines Wohnen + 16 kleine WE + Mietsteigerungspotenzial + gut vermietbar + Weimar +++,930000.0,"Westvorstadt, 99425 Weimar
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",28,523.0,500.0,1778.0,Mehrfamilienhaus,523.0,nil,nil,nil,nil,"Die Provision beträgt 7,14 % des Kaufpreises inkl. der gesetzlichen Mehrwertsteuer.",{}
Einfamilienhaus mit Potential bei Treffurt,75000.0,"99830 Treffurt, Wartburgkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,130.0,820.0,577.0,Einfamilienhaus (freistehend),,nil,nil,1,5 Stellplätze,siehe Sonstiges,{'is24qa-keller-label': ''}
Wohn- und Geschäftshaus im Stadtzentrum von Weimar,9800000.0,"Goetheplatz 3+5,
Westvorstadt, 99423 Weimar",180,3473.0,1507.0,2822.0,nil,3473.0,sofort,nil,nil,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
