title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Naturidylle!,149.000 €,"36466 Stadtlengsfeld, Wartburgkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,170 m²,1.341 m²,876 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Die Gelegenheit - Nutzung als Ein- oder Zweifamilienhaus möglich!,145.000 €,"98574 Schmalkalden, Schmalkalden-Meiningen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,180 m²,180 m²,806 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,2,2 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
2-3-Familienhaus in Top-Zustand im Herzen von Großbreitenbach zu verkaufen!,269.000 €,"98701 Großbreitenbach, Ilm-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,246 m²,1.498 m²,1.093 €/m²,Wohnimmobilie (sonstige),155 m²,sofort,nil,nil,Garage,"6,95 %","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
leerstehendes Ein- Zweifamilienhaus mit zwei Garagen,29.000 €,"96528 Schalkau, Sonneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,220 m²,181 m²,132 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,2 Stellplätze,"3.570,00 EUR Bearbeitungsgebühr (abweichende Provisionsregelungen n. §§ 656 a-d siehe ""Sonstiges"")",{}
Kapitalanlage im Zentrum mit guter Rendite,125.000 €,"98574 Schmalkalden, Schmalkalden-Meiningen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,160 m²,182 m²,781 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"7,14 % inkl. gesetzl. MwSt. (abweichende Provisionsregelungen n. §§ 656 a-d siehe ""Sonstiges"")",{'is24qa-vermietet-label': ''}
Einfamilienhaus in Unterweißbach,79.500 €,"98744 Unterweißbach, Saalfeld-Rudolstadt (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,130 m²,228 m²,612 €/m²,Wohnimmobilie (sonstige),nil,nach Absprache,2,2,1 Stellplatz,"3,57% des Kaufpreises",{'is24qa-gaeste-wc-label': ''}
Freistehendes Einfamilienhaus,155.000 €,"07333 Unterwellenborn, Saalfeld-Rudolstadt (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,120 m²,280 m²,1.292 €/m²,Einfamilienhaus (freistehend),0 m²,nil,4,1,1 Außenstellplatz,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
"freistehendes 2-FH m. Zufahrt, Garten, 2 Garagen u. Nebengelass",169.000 €,"99885 Crawinkel, Gotha (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,148 m²,424 m²,1.142 €/m²,nil,nil,nil,6,2,Außenstellplatz,"11.900,00 inkl. 19% MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Unsaniertes MFH in Altenburg mit Denkmal-AfA,298.000 €,"04600 Altenburg, Altenburger Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",35,"1.411,37 m²",639 m²,211 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,"7,14 inkl. MwSt.",{'is24qa-keller-label': ''}
3-Seitenhof mit vielen Möglichkeiten in Launewitz *Mehrgenerationen*Alpakafarm*Entspannen*,199.000 €,"Launewitz 9,
07619 Schkölen, Saale-Holzland-Kreis",7,240 m²,4.528 m²,829 €/m²,Bauernhaus,nil,nil,5,3,7 Stellplätze,"3,57 % inkl. ges. MwSt.",{}
Haus mit VIEL Garten,76.000 €,"Meurastraße 4,
07318 Reichmannsdorf, Saalfeld-Rudolstadt (Kreis)",5,144 m²,720 m²,528 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,nil,1 Stellplatz,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
"Sanierungsbedürftiges, freistehendes Einfamilienhaus mit Garage in Rastenberg zu verkaufen!",29.500 €,"99636 Rastenberg, Sömmerda (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,98 m²,324 m²,301 €/m²,Einfamilienhaus (freistehend),nil,nil,3,1,nil,"3.094,00",{}
Idyllisch gelegenes Grundstück mit großzügigem Bauernhaus & Scheune zum Ausbau,70.000 €,"07629 Sankt Gangloff, Saale-Holzland-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,150 m²,4.500 m²,467 €/m²,Bauernhaus,158 m²,sofort,nil,nil,nil,"4.000,00€",{}
HAUS MIT TRAUMBLICK ÜBER BAD BERKA,295.000 €,"Am Weimarweg 16,
99438 Bad Berka, Weimarer Land (Kreis)",4,100 m²,696 m²,2.950 €/m²,Einfamilienhaus (freistehend),nil,nil,nil,1,2 Garagen,"Der Käufer zahlt eine Maklerprovision in Höhe von 3,57% des Kaufpreises (inkl. MwSt.).","{'is24qa-gaeste-wc-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Teilverkauf eines Einfamilienhauses mit Nebengebäude,18.000 €,"98593 Floh-Seligenthal, Schmalkalden-Meiningen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",10,210 m²,1.097 m²,86 €/m²,Einfamilienhaus (freistehend),nil,01.02.24,4,2,1 Außenstellplatz,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
